"Bac","Niveau","Spécialités","Effectifs"
2021,"Première","MATHS PHYSIQUE_CHIMIE SVT",109398
2021,"Première","HISTOIRE_GEO_POLITIQUE MATHS SES",31175
2021,"Première","HISTOIRE_GEO_POLITIQUE LANGUES_LITTERATURE SES",27725
2021,"Première","HISTOIRE_GEO_POLITIQUE HUMANITES_LITTERATURE_PHILO SES",17200
2021,"Première","HISTOIRE_GEO_POLITIQUE HUMANITES_LITTERATURE_PHILO LANGUES_LITTERATURE",16992
2021,"Première","MATHS PHYSIQUE_CHIMIE SCIENCES_INGENIEUR",16558
2021,"Première","MATHS NUMERIQUE_SCIENCES_INFORMATIQUES PHYSIQUE_CHIMIE",16045
2021,"Première","LANGUES_LITTERATURE MATHS SES",13046
2021,"Première","MATHS SVT SES",12829
2021,"Première","MATHS PHYSIQUE_CHIMIE SES",12246
2021,"Première","HISTOIRE_GEO_POLITIQUE SVT SES",8143
2021,"Première","LANGUES_LITTERATURE MATHS PHYSIQUE_CHIMIE",8078
2021,"Première","HUMANITES_LITTERATURE_PHILO LANGUES_LITTERATURE SES",7136
2021,"Première","HISTOIRE_GEO_POLITIQUE MATHS PHYSIQUE_CHIMIE",5862
2021,"Première","LANGUES_LITTERATURE MATHS SVT",4756
2021,"Première","HISTOIRE_GEO_POLITIQUE MATHS SVT",4329
2021,"Première","HISTOIRE_GEO_POLITIQUE LANGUES_LITTERATURE MATHS",3665
2021,"Première","LANGUES_LITTERATURE SVT SES",3274
2021,"Première","MATHS NUMERIQUE_SCIENCES_INFORMATIQUES SCIENCES_INGENIEUR",2814
2021,"Première","ARTS_PLA HUMANITES_LITTERATURE_PHILO LANGUES_LITTERATURE",2723
2021,"Première","MATHS NUMERIQUE_SCIENCES_INFORMATIQUES SES",2609
2021,"Première","HISTOIRE_GEO_POLITIQUE LANGUES_LITTERATURE SVT",2467
2021,"Première","HISTOIRE_GEO_POLITIQUE HUMANITES_LITTERATURE_PHILO MATHS",2297
2021,"Première","HUMANITES_LITTERATURE_PHILO LANGUES_LITTERATURE SVT",2159
2021,"Première","HUMANITES_LITTERATURE_PHILO MATHS SES",2062
2021,"Première","HISTOIRE_GEO_POLITIQUE HUMANITES_LITTERATURE_PHILO SVT",2019
2021,"Première","MATHS NUMERIQUE_SCIENCES_INFORMATIQUES SVT",1981
2021,"Première","PHYSIQUE_CHIMIE SVT SES",1976
2021,"Première","HUMANITES_LITTERATURE_PHILO SVT SES",1936
2021,"Première","HUMANITES_LITTERATURE_PHILO LANGUES_LITTERATURE MATHS",1793
2021,"Première","LANGUES_LITTERATURE PHYSIQUE_CHIMIE SVT",1761
