Code,Nom
"MATHS","Mathématiques (Maths)"
"PHYSIQUE_CHIMIE","Physique chimie (PC)"
"SVT","Sciences de la vie et de la Terre (SVT)"
"HISTOIRE_GEO_POLITIQUE","Histoire géo/politiques (HGGSP)"
"SES","Sciences économiques et sociales (SES)"
"LANGUES_LITTERATURE","langues, littératures et cultures étrangères (LLCE)"
"HUMANITES_LITTERATURE_PHILO","Humanités, littérature et philosophie (HLP)"
"SCIENCES_INGENIEUR","Sciences de l'ingénieur (SI)"
"NUMERIQUE_SCIENCES_INFORMATIQUES","Numerique et sciences informatiques (NSI)"
"ARTS_PLA","Arts plastiques"
"CINEMA","Cinéma-Audiovisuel"
"THEATRE","Théatre"
"HISTOIRE_DES_ARTS","Histoire des arts"
"MUSIQUE","Musique"
"LITTERATURE_LCA_LATIN","Littérature, langues et cultures de l’Antiquité Latin (LLCA-L)"
"DANSE","Danse"
"LITTERATURE_LCA_GREC","Littérature, langues et cultures de l’Antiquité - Grec (LLCA-G)"
"2LLCER","Langues, littératures et cultures étrangère et régionales (LLCER)"
"ARTS_DU_CIRQUE","Arts du cirque"
"BIOLOGIE_ECOLOGIE","Biologie et écologie"
"Autres","Autres"
